cong,id,state,dist,lstate,party,name,unity,num unity votes,total unity votes
35,1811,51,8,KENTUCK,100,CLAY,87.006,308,354
35,6055,51,9,KENTUCK,100,MASON,79.518,264,332
35,8922,51,10,KENTUCK,100,STEVENSON,91.317,305,334
35,2999,45,1,LOUISIA,310,EUSTIS,91.317,305,334
35,9225,45,2,LOUISIA,100,TAYLOR  M.,82,246,300
35,2368,45,3,LOUISIA,100,DAVIDSON,85.091,234,275
35,8204,45,4,LOUISIA,100,SANDIDGE,80.625,258,320
35,10328,2,1,MAINE,200,WOOD,80,196,245
35,3608,2,2,MAINE,200,GILMAN,93.787,317,338
35,8,2,3,MAINE,200,ABBOTT,90.544,316,349
35,6734,2,4,MAINE,200,MORSE  F.H.,90.964,302,332
35,9851,2,5,MAINE,200,WASHBURN  I,88.857,311,350
35,3314,2,6,MAINE,200,FOSTER,86.856,337,388
35,8936,52,1,MARYLAN,100,STEWART J.A,77.469,251,324
35,7848,52,2,MARYLAN,310,RICAUD,77.469,251,324
35,4105,52,3,MARYLAN,310,HARRIS  J.M,77.469,251,324
35,2385,52,4,MARYLAN,310,DAVIS  H.W.,77.469,251,324
35,5375,52,5,MARYLAN,100,KUNKEL  J.M,89.407,211,236
35,910,52,6,MARYLAN,100,BOWIE,76.364,252,330
35,3953,3,1,MASSACH,200,HALL  R.B.,89.377,244,273
35,1220,3,2,MASSACH,200,BUFFINTON,89.33,360,403
35,2311,3,3,MASSACH,200,DAMRELL,86.667,117,135
35,1964,3,4,MASSACH,200,COMINS,81.984,314,383
35,1283,3,5,MASSACH,200,BURLINGAME,92.162,341,370
35,2416,3,6,MASSACH,200,DAVIS  T,89.908,294,327
35,409,3,7,MASSACH,200,BANKS,92.308,12,13
35,3663,3,7,MASSACH,200,GOOCH,90.415,283,313
35,5332,3,8,MASSACH,200,KNAPP,93.506,360,385
35,9273,3,9,MASSACH,200,THAYER,85.955,306,356
35,1615,3,10,MASSACH,200,CHAFFEE,91.111,328,360
35,2423,3,11,MASSACH,200,DAWES,92.676,329,355
35,4634,23,1,MICHIGA,200,HOWARD,86.022,320,372
35,9731,23,2,MICHIGA,200,WALDRON,84.615,286,338
35,9721,23,3,MICHIGA,200,WALBRIDGE,93.923,340,362
35,5535,23,4,MICHIGA,200,LEACH,91.822,247,269
35,7406,33,98,MINNESO,100,PHELPS  W.W,58.235,99,170
35,1608,33,98,MINNESO,100,CAVANAUGH,55.769,87,156
35,5416,46,1,MISSISS,100,LAMAR,90.661,233,257
35,2404,46,2,MISSISS,100,DAVIS  R,83.276,244,293
35,439,46,3,MISSISS,100,BARKSDALE,90.746,304,335
35,8541,46,4,MISSISS,100,SINGLETON,87.5,273,312
35,7681,46,5,MISSISS,100,QUITMAN,81.579,186,228
35,6378,46,5,MISSISS,100,MCRAE,85.124,103,121
35,764,34,1,MISSOUR,329,BLAIR,85.124,103,121
35,183,34,2,MISSOUR,310,ANDERSON,85.124,103,121
35,1773,34,3,MISSOUR,100,CLARK  J.B.,84.309,317,376
35,2134,34,4,MISSOUR,100,CRAIG,76.522,264,345
35,10359,34,5,MISSOUR,310,WOODSON,76.522,264,345
35,7401,34,6,MISSOUR,100,PHELPS  J.S,83.425,302,362
35,1559,34,7,MISSOUR,100,CARUTHERS,80.682,71,88
35,7449,4,1,NEW HAM,200,PIKE,92.515,309,334
35,9178,4,2,NEW HAM,200,TAPPAN,94.462,307,325
35,2129,4,3,NEW HAM,200,CRAGIN,92.414,268,290
35,1805,12,1,NEW JER,200,CLAWSON,92.582,312,337
35,7943,12,2,NEW JER,200,ROBBINS,93.664,340,363
35,49,12,3,NEW JER,100,ADRAIN,54.341,169,311
35,4784,12,4,NEW JER,100,HUYLER,72.642,231,318
35,10375,12,5,NEW JER,100,WORTENDYKE,75.63,270,357
35,8333,13,1,NEW YOR,100,SEARING,84,189,225
35,9208,13,2,NEW YOR,100,TAYLOR  G.,78.151,186,238
35,8503,13,3,NEW YOR,100,SICKLES,69.364,120,173
35,5153,13,4,NEW YOR,100,KELLY,83.417,166,199
35,460,13,4,NEW YOR,329,BARR,83.417,166,199
35,5893,13,5,NEW YOR,100,MACLAY,81.311,248,305
35,1886,13,6,NEW YOR,100,COCHRANE  J,77.898,289,371
35,9812,13,7,NEW YOR,100,WARD,78.571,176,224
35,1767,13,8,NEW YOR,100,CLARK  H.F.,29.787,56,188
35,4175,13,9,NEW YOR,100,HASKIN,24.797,61,246
35,6817,13,10,NEW YOR,200,MURRAY,89.935,277,308
35,8144,13,11,NEW YOR,100,RUSSELL,77.812,256,329
35,9329,13,12,NEW YOR,200,THOMPSON,94.894,223,235
35,7054,13,13,NEW YOR,200,OLIN,89.735,271,302
35,2073,13,14,NEW YOR,100,CORNING,71.575,209,292
35,2635,13,15,NEW YOR,200,DODD,90.078,345,383
35,7176,13,16,NEW YOR,200,PALMER,92.023,323,351
35,8797,13,17,NEW YOR,200,SPINNER,81.53,309,379
35,1885,13,18,NEW YOR,200,COCHRANE CB,90.421,236,261
35,6737,13,19,NEW YOR,200,MORSE  O.A.,94.915,280,295
35,6082,13,20,NEW YOR,200,MATTESON,88.048,221,251
35,638,13,21,NEW YOR,200,BENNETT,86.598,252,291
35,3685,13,22,NEW YOR,200,GOODWIN,91.692,298,325
35,4466,13,23,NEW YOR,200,HOARD,84.012,289,344
35,3747,13,24,NEW YOR,200,GRANGER,92.394,328,355
35,6676,13,25,NEW YOR,200,MORGAN,90.769,354,390
35,7561,13,26,NEW YOR,200,POTTLE,83.136,281,338
35,7198,13,27,NEW YOR,200,PARKER,88.859,335,377
35,5156,13,28,NEW YOR,200,KELSEY,89.697,296,330
35,198,13,29,NEW YOR,200,ANDREWS,91.622,339,370
35,8455,13,30,NEW YOR,200,SHERMAN  JW,92.027,277,301
35,1307,13,31,NEW YOR,200,BURROUGHS,86.74,157,181
35,4186,13,32,NEW YOR,100,HATCH,68.243,202,296
35,3107,13,33,NEW YOR,200,FENTON,89.736,306,341
35,8419,47,1,NORTH C,100,SHAW  H.M.,82.24,301,366
35,8106,47,2,NORTH C,100,RUFFIN,86.737,327,377
35,10278,47,3,NORTH C,100,WINSLOW,87.5,266,304
35,973,47,4,NORTH C,100,BRANCH,79.87,246,308
35,3612,47,5,NORTH C,310,GILMER,79.87,246,308
35,8248,47,6,NORTH C,100,SCALES,82.415,314,381
35,2138,47,7,NORTH C,100,CRAIGE,88.764,237,267
35,1846,47,8,NORTH C,100,CLINGMAN,86.066,105,122
35,9601,47,8,NORTH C,310,VANCE,86.066,105,122
35,7319,24,1,OHIO,100,PENDLETON,76.375,236,309
35,3848,24,2,OHIO,100,GROESBECK,72.83,193,265
35,1461,24,3,OHIO,200,CAMPBELL,84.553,104,123
35,9588,24,3,OHIO,100,VALLANDIGHA,84.848,140,165
35,6920,24,4,OHIO,200,NICHOLS,69.205,209,302
35,6763,24,5,OHIO,200,MOTT,78.338,264,337
35,1890,24,6,OHIO,100,COCKERILL,70.497,227,322
35,4073,24,7,OHIO,200,HARLAN,83.481,283,339
35,8843,24,8,OHIO,200,STANTON,86.719,333,384
35,3945,24,9,OHIO,100,HALL  L.W.,74.688,239,320
35,6497,24,10,OHIO,100,MILLER,83.004,210,253
35,4590,24,11,OHIO,200,HORTON,84.337,280,332
35,2118,24,12,OHIO,100,COX,64.561,184,285
35,8454,24,13,OHIO,200,SHERMAN  J.,87.349,290,332
35,797,24,14,OHIO,200,BLISS,87.819,310,353
35,1297,24,15,OHIO,100,BURNS,72.698,229,315
35,9416,24,16,OHIO,200,TOMPKINS,87.94,350,398
35,5517,24,17,OHIO,100,LAWRENCE,71.707,147,205
35,5601,24,18,OHIO,200,LEITER,76.253,289,379
35,9699,24,19,OHIO,200,WADE,91.473,354,387
35,3567,24,20,OHIO,200,GIDDINGS,85.2,213,250
35,717,24,21,OHIO,200,BINGHAM,89.333,335,375
35,3861,72,1,OREGON,100,GROVER,83.051,49,59
35,3229,14,1,PENNSYL,100,FLORENCE,72.251,276,382
35,6702,14,2,PENNSYL,200,MORRIS  E.J,84.195,293,348
35,5438,14,3,PENNSYL,100,LANDY,72.243,190,263
35,7413,14,4,PENNSYL,100,PHILLIPS,72.156,241,334
35,5055,14,5,PENNSYL,100,JONES  O,67.806,238,351
35,4384,14,6,PENNSYL,100,HICKMAN,36.269,70,193
35,1654,14,7,PENNSYL,100,CHAPMAN,56.786,159,280
35,5044,14,8,PENNSYL,100,JONES  J.G,88.655,211,238
35,5129,14,8,PENNSYL,200,KEIM,85.075,114,134
35,7947,14,9,PENNSYL,200,ROBERTS,86.424,261,302
35,5376,14,10,PENNSYL,200,KUNKEL  J.C,76.596,180,235
35,2539,14,11,PENNSYL,100,DEWART,66.807,159,238
35,5596,14,12,PENNSYL,100,LEIDG,69.792,201,288
35,2601,14,13,PENNSYL,100,DIMMICK,71.635,149,208
35,3863,14,14,PENNSYL,200,GROW,92.432,342,370
35,10009,14,15,PENNSYL,100,WHITE,80.844,249,308
35,50,14,16,PENNSYL,100,AHL,75.389,242,321
35,7818,14,17,PENNSYL,100,REILLY,65.052,188,289
35,2849,14,18,PENNSYL,200,EDIE,79.204,179,226
35,2100,14,19,PENNSYL,200,COVODE,92.857,312,336
35,6610,14,20,PENNSYL,100,MONTGOMERYW,48.649,108,222
35,7919,14,21,PENNSYL,200,RITCHIE,80.069,233,291
35,7657,14,22,PENNSYL,200,PURVIANCE,86.916,279,321
35,8947,14,23,PENNSYL,200,STEWART  W,87.077,283,325
35,3606,14,24,PENNSYL,100,GILLIS,76.863,196,255
35,2556,14,25,PENNSYL,200,DICK,88.235,240,272
35,2789,5,1,RHODE I,200,DURFEE,91.914,341,371
35,987,5,2,RHODE I,200,BRAYTON,93.75,330,352
35,6377,48,1,SOUTH C,100,MCQUEEN,86.61,304,351
35,6468,48,2,SOUTH C,100,MILES,85.484,265,310
35,5132,48,3,SOUTH C,100,KEITT,87.124,203,233
35,844,48,4,SOUTH C,100,BONHAM,85.776,199,232
35,926,48,6,SOUTH C,100,BOYCE,85.099,257,302
35,9864,54,1,TENNESS,100,WATKINS,86.084,266,309
35,6112,54,2,TENNESS,310,MAYNARD,86.084,266,309
35,8682,54,3,TENNESS,100,SMITH  S.A.,82.079,229,279
35,8232,54,4,TENNESS,100,SAVAGE,87.692,228,260
35,7768,54,5,TENNESS,310,READY,87.692,228,260
35,5033,54,6,TENNESS,100,JONES  G.W.,72.193,270,374
35,10393,54,7,TENNESS,100,WRIGHT  J V,82.462,268,325
35,10470,54,8,TENNESS,310,ZOLLICOFFER,82.462,268,325
35,282,54,9,TENNESS,100,ATKINS,87.079,310,356
35,302,54,10,TENNESS,100,AVERY,87.048,289,332
35,7769,49,1,TEXAS,100,REAGAN,85.311,302,354
35,1170,49,2,TEXAS,100,BRYAN,81.071,227,280
35,9795,6,1,VERMONT,200,WALTON,93.37,338,362
35,6696,6,2,VERMONT,200,MORRILL,87.123,318,365
35,8098,6,3,VERMONT,200,ROYCE,92.487,357,386
35,3484,40,1,VIRGINI,100,GARNETT,76.667,230,300
35,6533,40,2,VIRGINI,100,MILLSON,79.272,283,357
35,1580,40,3,VIRGINI,100,CASKIE,89.644,277,309
35,3669,40,4,VIRGINI,100,GOODE,85.522,254,297
35,815,40,5,VIRGINI,100,BOCOCK,85.209,265,311
35,7574,40,6,VIRGINI,100,POWELL,86.667,247,285
35,8697,40,7,VIRGINI,100,SMITH  W.,82.979,234,282
35,3080,40,8,VIRGINI,100,FAULKNER,91.815,258,281
35,5621,40,9,VIRGINI,100,LETCHER,82.421,286,347
35,1828,40,10,VIRGINI,100,CLEMENS,81.938,186,227
35,4912,40,11,VIRGINI,100,JENKINS,89.754,219,244
35,2857,40,12,VIRGINI,100,EDMUNDSON,92.42,317,343
35,4568,40,13,VIRGINI,100,HOPKINS,86.257,295,342
35,7556,25,1,WISCONS,200,POTTER,91.328,337,369
35,9848,25,2,WISCONS,200,WASHBURN  C,92.163,294,319
35,711,25,3,WISCONS,200,BILLINGHURS,83.577,229,274
36,8829,41,1,ALABAMA,100,STALLWORTH,96.273,155,161
36,7644,41,2,ALABAMA,100,PUGH  J.L.,93.689,193,206
36,1852,41,3,ALABAMA,100,CLOPTON  D.,94.422,237,251
36,6652,41,4,ALABAMA,100,MOORE  S.,93.162,218,234
36,4610,41,5,ALABAMA,100,HOUSTON  G.,90.152,238,264
36,1874,41,6,ALABAMA,100,COBB  W.R.,77.289,211,273
36,2264,41,7,ALABAMA,100,CURRY  J.L.,91.981,195,212
36,4440,42,1,ARKANSA,100,HINDMAN  T.,81.143,142,175
36,8145,42,2,ARKANSA,100,RUST  A.,90.411,132,146
36,1244,71,98,CALIFOR,100,BURCH  J.C.,73.793,214,290
36,8294,71,98,CALIFOR,100,SCOTT  C.L.,74.299,159,214
36,5775,1,1,CONNECT,200,LOOMIS  D.,95.283,303,318
36,10347,1,2,CONNECT,200,WOODRUFF  J,93.919,278,296
36,1293,1,3,CONNECT,200,BURNHAM  A.,91.438,267,292
36,3122,1,4,CONNECT,200,FERRY,83.394,231,277
36,10059,11,1,DELAWAR,100,WHITELEY  W,89.063,171,192
36,4213,43,1,FLORIDA,100,HAWKINS  G.,95.098,97,102
36,5793,44,1,GEORGIA,100,LOVE  P.E.,93.45,214,229
36,2162,44,2,GEORGIA,100,CRAWFORD  M,92.444,208,225
36,4049,44,3,GEORGIA,3333,HARDEMAN  T,92.444,208,225
36,3496,44,4,GEORGIA,100,GARTRELL  L,92.647,252,272
36,9557,44,5,GEORGIA,100,UNDERWOOD J,93.627,191,204
36,4855,44,6,GEORGIA,100,JACKSON  J.,96.774,180,186
36,4416,44,7,GEORGIA,3333,HILL  J.,96.774,180,186
36,5045,44,8,GEORGIA,100,JONES  J.J.,93.004,226,243
36,9854,21,1,ILLINOI,200,WASHBURNE E,87.937,277,315
36,3064,21,2,ILLINOI,200,FARNSWORTH,83.796,181,216
36,5797,21,3,ILLINOI,200,LOVEJOY  O.,85.621,262,306
36,5146,21,4,ILLINOI,200,KELLOGG  W.,80.083,193,241
36,6704,21,5,ILLINOI,100,MORRIS  I.N,56.944,123,216
36,6157,21,6,ILLINOI,100,MCCLERNAND,75.13,145,193
36,7976,21,7,ILLINOI,100,ROBINSON  J,79.6,199,250
36,3318,21,8,ILLINOI,100,FOUKE  P.B.,72.376,131,181
36,5746,21,9,ILLINOI,100,LOGAN  J.A.,82.879,213,257
36,6910,22,1,INDIANA,100,NIBLACK  N.,80.556,261,324
36,2972,22,2,INDIANA,100,ENGLISH  W.,75.676,140,185
36,2777,22,3,INDIANA,200,DUNN  W.M.,84.746,250,295
36,4529,22,4,INDIANA,100,HOLMAN  W.S,66.102,195,295
36,5239,22,5,INDIANA,200,KILGORE  D.,74.797,184,246
36,7529,22,6,INDIANA,200,PORTER  A.G,85.625,274,320
36,2397,22,7,INDIANA,108,DAVIS  J.G.,85.625,274,320
36,10231,22,8,INDIANA,200,WILSON  J.,83.398,216,259
36,1938,22,9,INDIANA,200,COLFAX  S.,89.181,305,342
36,1568,22,10,INDIANA,200,CASE  C.,91.791,246,268
36,7384,22,11,INDIANA,200,PETTIT,89.493,247,276
36,2274,31,1,IOWA,200,CURTIS  S.R,88.608,210,237
36,9607,31,2,IOWA,200,VANDEVER  W,91.288,241,264
36,2013,32,1,KANSAS,200,CONWAY  M.,90.698,39,43
36,1290,51,1,KENTUCK,100,BURNETT  H.,94.502,275,291
36,7389,51,2,KENTUCK,100,PEYTON  J.,87.365,242,277
36,1044,51,3,KENTUCK,3333,BRISTOW  F.,87.365,242,277
36,186,51,4,KENTUCK,3333,ANDERSON  W,87.365,242,277
36,1123,51,5,KENTUCK,100,BROWN  J.Y.,98.63,72,73
36,29,51,6,KENTUCK,3333,ADAMS  G.,98.63,72,73
36,5940,51,7,KENTUCK,3333,MALLORY  R.,98.63,72,73
36,8520,51,8,KENTUCK,100,SIMMS,94.894,223,235
36,6641,51,9,KENTUCK,3333,MOORE  L.T.,94.894,223,235
36,8922,51,10,KENTUCK,100,STEVENSON J,91.633,230,251
36,882,45,1,LOUISIA,310,BOULIGNY  J,91.633,230,251
36,9225,45,2,LOUISIA,100,TAYLOR  M.,89.617,164,183
36,2368,45,3,LOUISIA,100,DAVIDSON  T,77.778,98,126
36,5435,45,4,LOUISIA,100,LANDRUM  J.,93.617,176,188
36,8741,2,1,MAINE,200,SOMES  D.G.,89.032,138,155
36,7356,2,2,MAINE,200,PERRY  J.J.,91.011,243,267
36,3369,2,3,MAINE,200,FRENCH  E.B,93.359,239,256
36,6734,2,4,MAINE,200,MORSE  F.H.,89.831,212,236
36,9851,2,5,MAINE,200,WASHBURN,94.619,211,223
36,1877,2,5,MAINE,200,COBURN  E.,98.551,68,69
36,3314,2,6,MAINE,200,FOSTER  S.C,92.283,287,311
36,8936,52,1,MARYLAN,100,STEWART  J.,86.74,157,181
36,9904,52,2,MARYLAN,310,WEBSTER  E.,86.74,157,181
36,4105,52,3,MARYLAN,310,HARRIS  J.M,86.74,157,181
36,2385,52,4,MARYLAN,310,DAVIS  H.W.,86.74,157,181
36,5375,52,5,MARYLAN,100,KUNKEL  J.M,92.547,149,161
36,4700,52,6,MARYLAN,100,HUGHES  G.W,77.352,222,287
36,2895,3,1,MASSACH,200,ELIOT  T.D.,95.441,314,329
36,1220,3,2,MASSACH,200,BUFFINGTON,90.368,319,353
36,25,3,3,MASSACH,200,ADAMS  C.F.,86.552,251,290
36,7849,3,4,MASSACH,200,RICE  A.H.,91.667,231,252
36,1283,3,5,MASSACH,200,BURLINGAME,96.831,275,284
36,136,3,6,MASSACH,200,ALLEY  J.B.,93.38,268,287
36,3663,3,7,MASSACH,200,GOOCH  D.W.,93.458,300,321
36,9455,3,8,MASSACH,200,TRAIN  C.R.,91.538,238,260
36,9273,3,9,MASSACH,200,THAYER  E.,80.645,200,248
36,2478,3,10,MASSACH,200,DELANO  C.,90.397,273,302
36,2423,3,11,MASSACH,200,DAWES  H.L.,92.905,275,296
36,2044,23,1,MICHIGA,100,COOPER  G.,80.392,82,102
36,4634,23,1,MICHIGA,200,HOWARD  W.A,83.333,140,168
36,9731,23,2,MICHIGA,200,WALDRON  H.,88.55,232,262
36,5142,23,3,MICHIGA,200,KELLOGG  F.,94.498,292,309
36,5535,23,4,MICHIGA,200,LEACH  D.C.,93.569,291,311
36,10268,33,98,MINNESO,200,WINDOM  W.,90.753,265,292
36,69,33,98,MINNESO,200,ALDRICH  C.,88.657,297,335
36,5416,46,1,MISSISS,100,LAMAR  L.Q.,94.262,115,122
36,2404,46,2,MISSISS,100,DAVIS  R.,93.578,102,109
36,439,46,3,MISSISS,100,BARKSDALE,94.495,206,218
36,8541,46,4,MISSISS,100,SINGLETON,93.304,209,224
36,6378,46,5,MISSISS,100,MCRAE  J.J.,93.011,173,186
36,764,34,1,MISSOUR,200,BLAIR  F.P.,82.353,28,34
36,463,34,1,MISSOUR,100,BARRET  J.,78.571,165,210
36,183,34,2,MISSOUR,329,ANDERSON  T,78.571,165,210
36,1773,34,3,MISSOUR,100,CLARK  J.B.,81.443,237,291
36,2134,34,4,MISSOUR,100,CRAIG  J.,71.806,163,227
36,10359,34,5,MISSOUR,310,WOODSON  S.,71.806,163,227
36,7401,34,6,MISSOUR,100,PHELPS  J.S,87.037,235,270
36,6945,34,7,MISSOUR,100,NOELL  J.W.,81.333,183,225
36,6011,4,1,NEW HAM,200,MARSTON  G.,93.515,274,293
36,9178,4,2,NEW HAM,200,TAPPAN  M.W,95.533,278,291
36,2874,4,3,NEW HAM,200,EDWARDS  T.,94.035,268,285
36,6938,12,1,NEW JER,200,NIXON  J.T.,86.404,197,228
36,9015,12,2,NEW JER,200,STRATTON  J,87.313,234,268
36,49,12,3,NEW JER,108,ADRIAN  G.B,87.313,234,268
36,7904,12,4,NEW JER,108,RIGGS,87.313,234,268
36,7330,12,5,NEW JER,200,PENNINGTON,93.75,30,32
36,1548,13,1,NEW YOR,200,CARTER  L.C,91.241,250,274
36,4729,13,2,NEW YOR,200,HUMPHREY  J,89.925,241,268
36,8503,13,3,NEW YOR,100,SICKLES  D.,78.462,153,195
36,460,13,4,NEW YOR,329,BARR  T.J.,78.462,153,195
36,5893,13,5,NEW YOR,100,MACLAY  W.,75.214,176,234
36,1886,13,6,NEW YOR,100,COCHRANE  J,75.093,202,269
36,1032,13,7,NEW YOR,200,BRIGGS  G.,55.642,143,257
36,1767,13,8,NEW YOR,108,CLARK  H.F.,55.642,143,257
36,4175,13,9,NEW YOR,108,HASKIN  J.B,55.642,143,257
36,9643,13,10,NEW YOR,200,VAN WYCK  C,89.048,187,210
36,5197,13,11,NEW YOR,200,KENYON  W.S,87.008,221,254
36,540,13,12,NEW YOR,200,BEALE  C.L.,82.328,191,232
36,7054,13,13,NEW YOR,200,OLIN  A.B.,90.094,191,212
36,7833,13,14,NEW YOR,108,REYNOLDS  J,90.094,191,212
36,6285,13,15,NEW YOR,200,MCKEAN,96.845,307,317
36,7176,13,16,NEW YOR,200,PALMER  G.,95.408,187,196
36,8797,13,17,NEW YOR,200,SPINNER  F.,85.185,299,351
36,1885,13,18,NEW YOR,200,COCHRANE  C,69.231,45,65
36,3734,13,19,NEW YOR,200,GRAHAM  J.H,88.384,175,198
36,1984,13,20,NEW YOR,200,CONKLING  R,83.028,181,218
36,2742,13,21,NEW YOR,200,DUELL  R.H.,94.099,303,322
36,5563,13,22,NEW YOR,200,LEE  M.L.,96.743,297,307
36,4466,13,23,NEW YOR,200,HOARD  C.B.,76.325,216,283
36,8343,13,24,NEW YOR,200,SEDGWICK  C,88.189,224,254
36,1359,13,25,NEW YOR,200,BUTTERFIELD,94.755,271,286
36,7561,13,26,NEW YOR,200,POTTLE  E.B,95.122,234,246
36,9940,13,27,NEW YOR,200,WELLS  A.,91.667,319,348
36,4821,13,28,NEW YOR,200,IRVINE  W.,95.6,239,250
36,2952,13,29,NEW YOR,200,ELY  A.,94.662,266,281
36,3337,13,30,NEW YOR,200,FRANK  A.,94.585,262,277
36,7829,13,31,NEW YOR,200,REYNOLDS  E,90.476,76,84
36,1307,13,31,NEW YOR,200,BURROUGHS S,90.909,50,55
36,8768,13,32,NEW YOR,200,SPAULDING E,88.261,203,230
36,3107,13,33,NEW YOR,200,FENTON  R.E,93.156,245,263
36,8703,47,1,NORTH C,3333,SMITH  W.N.,93.156,245,263
36,8106,47,2,NORTH C,100,RUFFIN  T.,93.116,257,276
36,10278,47,3,NORTH C,100,WINSLOW  W.,92.735,217,234
36,973,47,4,NORTH C,100,BRANCH  L.O,91.045,244,268
36,3612,47,5,NORTH C,3333,GILMER  J.A,91.045,244,268
36,5536,47,6,NORTH C,3333,LEACH  J.M.,91.045,244,268
36,2138,47,7,NORTH C,100,CRAIGE  F.B,93.976,234,249
36,9601,47,8,NORTH C,3333,VANCE  Z.B.,93.976,234,249
36,7319,24,1,OHIO,100,PENDLETON G,72.653,178,245
36,3881,24,2,OHIO,200,GURLEY  J.A,95.849,254,265
36,9588,24,3,OHIO,100,VALLANDIGHA,80.567,199,247
36,131,24,4,OHIO,100,ALLEN  W.,52.29,137,262
36,266,24,5,OHIO,200,ASHLEY  J.M,93.133,217,233
36,4633,24,6,OHIO,100,HOWARD  W.,58.306,179,307
36,2078,24,7,OHIO,200,CORWIN  T.,73.016,138,189
36,8843,24,8,OHIO,200,STANTON  B.,70.1,211,301
36,1501,24,9,OHIO,200,CAREY  J.,82.748,259,313
36,9471,24,10,OHIO,200,TRIMBLE  C.,82.206,231,281
36,6017,24,11,OHIO,100,MARTIN  C.D,63.241,160,253
36,2118,24,12,OHIO,100,COX  S.S.,65.217,165,253
36,8454,24,13,OHIO,200,SHERMAN  J.,87.908,269,306
36,772,24,14,OHIO,200,BLAKE  H.G.,89.583,301,336
36,4292,24,15,OHIO,200,HELMICK  W.,94.19,308,327
36,9416,24,16,OHIO,200,TOMKINS  C.,91.25,292,320
36,9279,24,17,OHIO,200,THEAKER,86.017,203,236
36,2848,24,18,OHIO,200,EDGERTON  S,90.845,258,284
36,9699,24,19,OHIO,200,WADE  E.,93.487,244,261
36,4778,24,20,OHIO,200,HUTCHINS  J,90.789,276,304
36,717,24,21,OHIO,200,BINGHAM  J.,92.727,306,330
